"Bairro";"Sexo";"Data.Nascimento";"Estado.Nasc";"Estado_civil";"Cidade";"Curso_UCSAL";"ESCOLA.DE.Origem";"Classe"
"ACUPE";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"D"
"ACUPE";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"D"
"AGUAS CLARAS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"AGUAS CLARAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"SI";"NAO INFORMADO";"E"
"AGUAS CLARAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ALTO DO CABRITO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"ALTO DO CABRITO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"AMARALINA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"AMARALINA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"D"
"ARACATIBA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"ADS";"PUBLICA";"CNI"
"ARRAIAL DO RETIRO";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"BAIXA DE QUINTAS";"MASCULINO";"Entre 30 a 34 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"BES";"PUBLICA";"E"
"BARBALHO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"E"
"BARBALHO";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"BARBALHO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"BARRA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"C"
"BARREIRAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"BARRIS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"D"
"BARRIS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"D"
"BEIRU/TANCREDO NEVES";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"SALVADOR";"BES";"PUBLICA";"E"
"BEIRU/TANCREDO NEVES";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"BEIRU/TANCREDO NEVES";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"BEIRU/TANCREDO NEVES";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"BEIRU/TANCREDO NEVES";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"BEIRU/TANCREDO NEVES";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"BOCA DO RIO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"BOCA DO RIO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"BOCA DO RIO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"BOCA DO RIO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"BOCA DO RIO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"BOM DESPACHO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"NAO INFORMADO";"CNI"
"BONFIM";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"BRASILIA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"ADS";"PUBLICA";"CNI"
"BROTAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"BROTAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"D"
"BROTAS";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"BROTAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"BROTAS";"MASCULINO";"Acima de 34 anos";"BA";"DIVORCIADO";"SALVADOR";"BES";"PRIVADA";"D"
"BROTAS";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"D"
"BROTAS";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"D"
"BROTAS";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"BROTAS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"CABULA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"CABULA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"CABULA";"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"D"
"CABULA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
"CABULA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"D"
