BAIRROS;TOTAL RENDIMENTOS;POPULAÇÃO 2010;RENDA PERCAPTA;Classe
Acupe;11.994.740;11.213;1.069,72;D
Aeroporto;5.605.174;2.399;2.336,46;C
Águas Claras;12.646.353;37.029;341,53;E
Alto da Terezinha;4.138.336;14.010;295,38;E
Alto das Pombas;1.621.542;3.823;424,15;E
Alto do Cabrito;5.262.173;17.051;308,61;E
Alto do Coqueirinho;4.523.948;11.145;405,92;E
Amaralina;6.262.196;4.125;1.518,11;D
Areia Branca;535.728;2.594;206,53;E
Arenoso;4.588.948;16.232;282,71;E
Arraial do Retiro;3.692.031;8.938;413,07;E
Bairro da Paz;4.996.639;19.407;257,47;E
Baixa de Quintas;1.048.663;2.135;491,18;E
Barbalho;8.765.643;9.227;950,00;E
Barra;44.274.054;17.298;2.559,49;C
Barreiras;8.787.001;17.960;489,25;E
Barris;6.181.266;4.845;1.275,80;D
Beiru/Tancredo Neves;19.528.764;50.416;387,35;E
Boa Viagem;1.822.586;2.322;784,92;E
Boa Vista de Brotas;2.932.764;2.964;989,46;E
Boa Vista de São Caetano;5.584.306;17.688;315,71;E
Boca da Mata;3.830.904;8.068;474,83;E
Boca do Rio;31.735.978;48.032;660,73;E
Bom Juá;5.574.280;15.528;358,98;E
Bonfim;8.959.291;9.446;948,47;E
Brotas;89.125.750;70.158;1.270,36;D
Cabula;24.765.299;23.869;1.037,55;D
Cabula VI;8.578.644;10.728;799,65;E
Caixa D´Água;12.630.092;22.446;562,69;E
Cajazeiras II;589.510;1.137;518,48;E
Cajazeiras IV;1.515.437;3.364;450,49;E
Cajazeiras V;2.784.472;5.422;513,55;E
Cajazeiras VI;2.959.127;7.341;403,10;E
Cajazeiras VII;1.758.497;4.524;388,70;E
Cajazeiras VIII;4.594.713;13.013;353,09;E
Cajazeiras X;3.609.267;8.513;423,97;E
Cajazeiras XI;5.601.217;16.899;331,45;E
Calabar;2.532.417;6.484;390,56;E
Calabetão;1.900.423;7.298;260,40;E
Calçada;1.881.177;5.024;374,44;E
Caminho das Árvores;43.278.922;12.323;3.512,04;C
Caminho de Areia;7.357.346;12.318;597,28;E
Campinas de Pirajá;3.958.050;11.673;339,08;E
Canabrava;8.514.365;13.664;623,12;E
Candeal;32.670.856;13.553;2.410,60;C
Canela;15.130.104;5.339;2.833,88;C
Capelinha;6.416.859;16.033;400,23;E
Cassange;1.280.413;4.633;276,37;E
Castelo Branco;13.720.664;33.510;409,45;E
Centro;23.119.900;15.695;1.473,07;D
Centro Administrativo da Bahia;77.259;372;207,69;E
Centro Histórico;1.202.851;2.253;533,89;E
Chapada do Rio Vermelho;7.856.577;21.955;357,85;E
Cidade Nova;9.017.461;18.722;481,65;E
Comércio;637.632;1.345;474,08;E
Cosme de Farias;15.594.197;38.341;406,72;E
Costa Azul;41.565.490;20.204;2.057,29;C
Coutos;8.606.001;26.005;330,94;E
Curuzu;6.475.482;16.681;388,20;E
Dom Avelar;5.018.062;11.842;423,75;E
Doron;5.709.705;7.378;773,88;E
Engenho Velho da Federação;11.306.093;24.555;460,44;E
Engenho Velho de Brotas;14.338.606;25.703;557,86;E
Engomadeira;4.518.422;12.550;360,03;E
Fazenda Coutos;5.672.657;24.255;233,88;E
Fazenda Grande do Retiro;20.593.561;53.806;382,74;E
Fazenda Grande I;4.905.544;11.459;428,10;E
Fazenda Grande II;8.032.305;18.159;442,33;E
